line,loc,DTT,PH,EW
MG_1038,HN,59,192,56.6
MG_1038,JL,83,244.8,99.2
MG_1038,LN,73,231.4,83.75
MG_1039,BJ,71,232.8,66.67
MG_1039,HeB,68,203.4,64.25
MG_1039,HN,70,195.62,51.4
MG_1039,JL,89,236.6,94
MG_1039,LN,80,221,81
MG_104,BJ,66,229.6,68
MG_104,HeB,57,212.5,91.4
MG_104,HN,59,188,81.6
MG_104,JL,87,227.2,98.2
MG_104,LN,73,224.4,103
MG_1040,BJ,56,221.4,116.67
MG_1040,HeB,54,177.5,133.8
MG_1040,HN,58,198,92.8
MG_1040,JL,77,226.25,109.6
MG_1040,LN,72,214.75,100
MG_1041,BJ,65,236.5,128
MG_1041,HeB,62,233,130.67
MG_1041,HN,59,229.2,138.6
MG_1041,JL,83,255.4,143.8
MG_1041,LN,71,217.25,202
MG_1042,BJ,64,235.4,42.5
MG_1042,HeB,56,206.2,89.4
MG_1042,HN,59,225,54.6
MG_1042,JL,77,254.4,76.8
MG_1042,LN,69,237,102
MG_1043,BJ,63,259.4,53.33
MG_1043,HeB,58,245.6,61.67
MG_1043,HN,60,220.25,36.6
MG_1043,JL,77,239.8,53.33
MG_1043,LN,70,250.25,94
MG_1044,BJ,65,241.8,93.33
MG_1044,HeB,67,196.5,77.62
MG_1044,HN,61,197,82.2
MG_1044,JL,83,234,61.2
MG_1044,LN,75,204.2,103.75
MG_1045,BJ,67,241,NA
MG_1045,HeB,65,214.2,102
MG_1045,HN,66,155.2,68.8
MG_1045,JL,92,205.6,47
MG_1045,LN,78,220.03,NA
MG_1046,BJ,61,247.25,126.67
MG_1046,HeB,54,206,118.62
MG_1046,HN,58,210,97
MG_1046,JL,78,242.8,83.6
MG_1046,LN,67,245,166
MG_1047,BJ,69,248,56.67
MG_1047,HeB,57,244.6,92.25
MG_1047,HN,62,214,71
MG_1047,JL,90,246.5,59.4
MG_1047,LN,80,238.5,83.75
MG_1048,BJ,66,228,70
MG_1048,HeB,61,221.25,71.5
MG_1048,HN,67,181.2,39.4
MG_1048,JL,79,241.75,79.2
MG_1048,LN,72,238.72,95
MG_1049,BJ,67,221.2,98
MG_1049,HeB,61,214,135.3
MG_1049,HN,67,190.4,57.4
MG_1049,JL,82,230.75,125.4
MG_1049,LN,73,223.4,151.25
MG_105,BJ,69,199,73.33
MG_105,HeB,62,218.4,94.6
MG_105,HN,65,170.8,68.8
MG_105,JL,87,219.6,124.8
MG_105,LN,79,211.46,93
MG_1050,BJ,68,242.75,133.33
MG_1050,HeB,63,243,114.75
MG_1050,HN,63,227.25,78.4
MG_1050,JL,81,254.8,114.4
MG_1050,LN,73,260.5,122.5
MG_1051,BJ,68,233,95
MG_1051,HeB,62,231,86.38
MG_1051,HN,71,169.4,36
MG_1051,JL,82,252.5,78.8
MG_1051,LN,74,239.53,80
MG_1052,BJ,66,210,60
MG_1052,HeB,57,220.25,138
MG_1052,HN,64,158.2,52
MG_1052,JL,83,182,98.6
MG_1052,LN,71,221.5,116.25
MG_1053,BJ,65,222,118
MG_1053,HeB,58,238.75,136.5
MG_1053,HN,59,205,57
MG_1053,JL,83,251.2,116
MG_1053,LN,77,239,156
MG_1054,BJ,64,220.2,50
MG_1054,HeB,58,202.4,39.5
MG_1054,HN,61,210.5,59
MG_1054,JL,82,206,55.5
MG_1054,LN,70,216.78,110
MG_1055,BJ,66,197.8,33.33
MG_1055,HeB,60,220.5,131.75
MG_1055,HN,60,202.75,106.4
MG_1055,JL,78,236.6,148.8
MG_1055,LN,74,196.28,86.25
MG_1056,BJ,66,243.5,146.67
MG_1056,HeB,65,212,112.5
MG_1056,HN,63,190,48.4
MG_1056,JL,87,184.6,58.75
MG_1056,LN,78,210.6,143.33
MG_1057,BJ,68,243.6,52.5
MG_1057,HeB,62,232.8,64.62
MG_1057,HN,65,232.25,61.6
MG_1057,JL,87,250.4,101.4
MG_1057,LN,73,243.88,128.33
MG_1058,BJ,65,236,123.33
MG_1058,HeB,62,227.5,127.88
MG_1058,HN,68,199.2,71.2
MG_1058,JL,85,238.2,94.4
MG_1058,LN,76,220.2,95
MG_1059,BJ,58,229.25,105
MG_1059,HeB,52,206,118.88
MG_1059,HN,54,194.2,71
MG_1059,JL,70,204.6,61.8
